0	0
0	1.0
1	1.0
1	1.0
2	1.0
2	1.0
3	1.0
3	1.0
4	1.0
4	1.0
5	1.0
5	1.0
6	1.0
6	1.0
7	1.0
7	1.0
8	1.0
8	1.0
9	1.0
9	1.0
10	1.0
10	1.0
11	1.0
11	1.0
12	1.0
12	1.0
13	1.0
13	1.0
14	1.0
14	1.0
15	1.0
15	1.0
16	1.0
16	1.0
17	1.0
17	1.0
18	1.0
18	1.0
19	1.0
19	1.0
20	1.0
20	1.0
21	1.0
21	1.0
22	1.0
22	1.0
23	1.0
23	1.0
24	1.0
24	1.0
25	1.0
25	1.0
26	1.0
26	1.0
27	1.0
27	1.0
28	1.0
28	1.0
29	1.0
29	1.0
30	1.0
30	1.0
31	1.0
31	1.0
32	1.0
32	1.0
33	1.0
33	1.0
34	1.0
34	1.0
35	1.0
35	1.0
36	1.0
36	1.0
37	1.0
37	1.0
38	1.0
38	1.0
39	1.0
39	1.0
40	1.0
40	1.0
41	1.0
41	1.0
42	1.0
42	1.0
43	1.0
43	1.0
44	1.0
44	1.0
45	1.0
45	1.0
46	1.0
46	1.0
47	1.0
47	1.0
48	1.0
48	1.0
49	1.0
49	1.0
50	1.0
50	1.0
50	1.0
51	1.0
51	1.0
52	1.0
52	1.0
53	1.0
53	1.000909090909091
54	1.000909090909091
54	1.000909090909091
55	1.000909090909091
55	1.000909090909091
56	1.000909090909091
56	1.000909090909091
57	1.000909090909091
57	1.000909090909091
58	1.000909090909091
58	1.000909090909091
59	1.000909090909091
59	1.000909090909091
60	1.000909090909091
60	1.000909090909091
61	1.000909090909091
61	1.000909090909091
62	1.000909090909091
62	1.000909090909091
63	1.000909090909091
63	1.000909090909091
64	1.000909090909091
64	1.000909090909091
65	1.000909090909091
65	1.000909090909091
66	1.000909090909091
66	1.000909090909091
67	1.000909090909091
67	1.000909090909091
68	1.000909090909091
68	1.0058333333333334
69	1.0058333333333334
69	1.0058333333333334
70	1.0058333333333334
70	1.0058333333333334
71	1.0058333333333334
71	1.0058333333333334
72	1.0058333333333334
72	1.0058333333333334
73	1.0058333333333334
73	1.0058333333333334
74	1.0058333333333334
74	1.0058333333333334
75	1.0058333333333334
75	1.0058333333333334
76	1.0058333333333334
76	1.0058333333333334
77	1.0058333333333334
77	1.0058333333333334
78	1.0058333333333334
78	1.0058333333333334
79	1.0058333333333334
79	1.0058333333333334
80	1.0058333333333334
80	1.0058333333333334
81	1.0058333333333334
81	1.0058333333333334
82	1.0058333333333334
82	1.0058333333333334
83	1.0058333333333334
83	1.0058333333333334
84	1.0058333333333334
84	1.0058333333333334
85	1.0058333333333334
85	1.0058333333333334
86	1.0058333333333334
86	1.0058333333333334
87	1.0058333333333334
87	1.0058333333333334
88	1.0058333333333334
88	1.0058333333333334
89	1.0058333333333334
89	1.0058333333333334
90	1.0058333333333334
90	1.0058333333333334
